"distribution";"density_fun";"dist_density";"no_of_parameters";"default_location";"default_scale";"default_skewness";"default_kurtosis";"default_binomial_denominator";"discrete_flag";"dist_type";"location_lower_condition";"location_upper_condition";"scale_lower_condition";"scale_upper_condition";"skewness_lower_condition";"skewness_upper_condition";"kurtosis_lower_condition";"kurtosis_upper_condition";"x_lower_condition";"x_upper_condition";"fun_call";"location_lower_bound";"location_upper_bound";"scale_lower_bound";"scale_upper_bound";"skewness_lower_bound";"skewness_upper_bound";"kurtosis_lower_bound";"kurtosis_upper_bound";"x_lower_bound";"x_upper_bound"
"Skew Power Exponential";"dSEP";"Skew Power Exponential - dSEP";4;0;1;0;2;NA;0;"continuous";NA;NA;"<0";NA;NA;NA;"<0";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Skew Power Exponential type 1";"dSEP1";"Skew Power Exponential type 1 - dSEP1";4;0;1;0;2;NA;0;"continuous";NA;NA;"<0";NA;NA;NA;"<0";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Skew Power Exponential type 2";"dSEP2";"Skew Power Exponential type 2 - dSEP2";4;0;1;0;2;NA;0;"continuous";NA;NA;"<0";NA;NA;NA;"<0";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Skew Power Exponential type 3";"dSEP3";"Skew Power Exponential type 3 - dSEP3";4;0;1;2;2;NA;0;"continuous";NA;NA;"<=0";NA;"<=0";NA;"<=0";NA;NA;NA;NA;NA;NA;1e-10;NA;1e-10;NA;"1e-10";NA;NA;NA
"Skew Power Exponential type 4";"dSEP4";"Skew Power Exponential type 4 - dSEP4";4;0;1;2;2;NA;0;"continuous";NA;NA;"<=0";NA;"<=0";NA;"<=0";NA;NA;NA;NA;NA;NA;1e-10;NA;1e-10;NA;"1e-10";NA;NA;NA
"Shash";"dSHASH";"Shash - dSHASH";4;0;1;0.5;0.5;NA;0;"continuous";NA;NA;"<0";NA;"<0";NA;"<0";NA;NA;NA;NA;NA;NA;0;NA;0;NA;"0";NA;NA;NA
"Shash original";"dSHASHo";"Shash original - dSHASHo";4;0;1;0;1;NA;0;"continuous";NA;NA;"<0";NA;NA;NA;"<0";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Shash original 2";"dSHASHo2";"Shash original 2 - dSHASHo2";4;0;1;0;1;NA;0;"continuous";NA;NA;"<0";NA;NA;NA;"<0";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Sichel (original)";"dSI";"Sichel (original) - dSI";3;0.5;0.02;-0.5;NA;NA;1;"discrete";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Sichel (mu as the mean)";"dSICHEL";"Sichel (mu as the mean) - dSICHEL";3;1;1;-0.5;NA;NA;1;"discrete";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;"dNBI";1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Skew Normal Type 1";"dSN1";"Skew Normal Type 1 - dSN1";3;0;1;0;NA;NA;0;"continuous";NA;NA;"<0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA
"Skew Normal Type 2";"dSN2";"Skew Normal Type 2 - dSN2";3;0;1;2;NA;NA;0;"continuous";NA;NA;"<=0";NA;"<=0";NA;NA;NA;NA;NA;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA
"Skew t";"dSST";"Skew t - dSST";4;0;1;0.8;7;NA;0;"continuous";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"dST3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Skew t type 1";"dST1";"Skew t type 1 - dST1";4;0;1;0;2;NA;0;"continuous";NA;NA;"<0";NA;NA;NA;"<0";NA;NA;NA;"dNO";NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Skew t type 2";"dST2";"Skew t type 2 - dST2";4;0;1;0;2;NA;0;"continuous";NA;NA;"<0";NA;NA;NA;"<0";NA;NA;NA;"dNO";NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"Skew t type 3";"dST3";"Skew t type 3 - dST3";4;0;1;1;10;NA;0;"continuous";NA;NA;"<=0";NA;"<=0";NA;"<=0";NA;NA;NA;"dNO";NA;NA;1e-10;NA;1e-10;NA;"1e-10";NA;NA;NA
"Skew t";"dST3C";"Skew t - dST3C";4;0;1;1;10;NA;0;"continuous";NA;NA;"<=0";NA;"<=0";NA;"<=0";NA;NA;NA;NA;NA;NA;1e-10;NA;1e-10;NA;"1e-10";NA;NA;NA
"Skew t type 4";"dST4";"Skew t type 4 - dST4";4;0;1;1;10;NA;0;"continuous";NA;NA;"<=0";NA;"<=0";NA;"<=0";NA;NA;NA;"dNO";NA;NA;1e-10;NA;1e-10;NA;"1e-10";NA;NA;NA
